Date,Open,High,Low,Close,Volume
2023-08-21,175.0700,176.1300,173.7350,175.8400,46311879
2023-08-18,172.3000,175.1000,171.9600,174.4900,61172150
2023-08-17,177.1400,177.5054,173.4800,174.0000,66062882
2023-08-16,177.1300,178.5400,176.5000,176.5700,46964857
2023-08-15,178.8800,179.4800,177.0500,177.4500,43622593
2023-08-14,177.9700,179.6900,177.3050,179.4600,43675627
2023-08-11,177.3200,178.6200,176.5500,177.7900,52036672
2023-08-10,179.4800,180.7500,177.6000,177.9700,54686851
2023-08-09,180.8700,180.9300,177.0100,178.1900,60378492
2023-08-08,179.6900,180.2700,177.5800,179.8000,67823003
2023-08-07,182.1300,183.1300,177.3500,178.8500,97576069
2023-08-04,185.5200,187.3800,181.9200,181.9900,115956841
2023-08-03,191.5700,192.3700,190.6900,191.1700,62243282
2023-08-02,195.0400,195.1800,191.8507,192.5800,50389327
2023-08-01,196.2350,196.7300,195.2800,195.6050,35281426
2023-07-31,196.0600,196.4900,195.2600,196.4500,38824113
2023-07-28,194.6700,196.6260,194.1400,195.8300,48291443
2023-07-27,196.0200,197.2000,192.5500,193.2200,47460180
2023-07-26,193.6700,195.6400,193.3200,194.5000,47471868
2023-07-25,193.3300,194.4400,192.9150,193.6200,37283201
2023-07-24,193.4100,194.9100,192.2500,192.7500,45505097
2023-07-21,194.1000,194.9700,191.2300,191.9400,71951683
2023-07-20,195.0900,196.4700,192.4950,193.1300,59581196
2023-07-19,193.1000,198.2300,192.6500,195.1000,80507323
2023-07-18,193.3500,194.3300,192.4150,193.7300,48353774
2023-07-17,191.9000,194.3200,191.8100,193.9900,50520159
2023-07-14,190.2300,191.1799,189.6300,190.6900,41616242
2023-07-13,190.5000,191.1900,189.7800,190.5400,41342338
2023-07-12,189.6800,191.7000,188.4700,189.7700,60750248
2023-07-11,189.1600,189.3000,186.6000,188.0800,46638119
2023-07-10,189.2600,189.9900,187.0350,188.6100,59922163
2023-07-07,191.4100,192.6700,190.2400,190.6800,46814998
2023-07-06,189.8400,192.0200,189.2000,191.8100,45156009
2023-07-05,191.5650,192.9800,190.6200,191.3300,46920261
2023-07-03,193.7800,193.8800,191.7600,192.4600,31458198
2023-06-30,191.6300,194.4800,191.2600,193.9700,85213216
2023-06-29,189.0800,190.0700,188.9400,189.5900,46347308
2023-06-28,187.9300,189.9000,187.6000,189.2500,51216801
2023-06-27,185.8900,188.3900,185.6700,188.0600,50730846
2023-06-26,186.8300,188.0500,185.2300,185.2700,48088661
2023-06-23,185.5500,187.5600,185.0100,186.6800,53116996
2023-06-22,183.7400,187.0450,183.6700,187.0000,51245327
2023-06-21,184.9000,185.4100,182.5901,183.9600,49515697
2023-06-20,184.4100,186.1000,184.4100,185.0100,49799092
2023-06-16,186.7300,186.9900,184.2700,184.9200,101256225
2023-06-15,183.9600,186.5200,183.7800,186.0100,65433166
2023-06-14,183.3700,184.3900,182.0200,183.9500,57462882
2023-06-13,182.8000,184.1500,182.4400,183.3100,54929129
2023-06-12,181.2700,183.8900,180.9700,183.7900,54754995
2023-06-09,181.5000,182.2300,180.6300,180.9600,48899973
2023-06-08,177.8950,180.8400,177.4600,180.5700,50214881
2023-06-07,178.4400,181.2100,177.3200,177.8200,61944615
